Region_Area_State,Year,Wind_speed,Rainfall_actual,Rainfall_normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,MSW,Atmosheric_Microplastics,Beach_Plastics,Summer,Spring,Winter,Covid_19,Plastic_Production
Uttar Pradesh,2018,20.4,1532.7,1667,52081000,170922000,6.62,0.00,6342715,43524.620,,32.56,26.12,19.73,,254401.8
Uttarakhand,2018,16.3,1194.3,1229.1,3726000,7329000,0.05,0.00,557522,10603.573,,19.73,14.81,9.93,,31093
West Bengal,2018,21.4,2677.4,3174.1,33635000,62865000,16.19,1.63,5333855,40717.810,1958.28,30.7,25.42,20.19,,300236.12
Andaman and Nicobar Islands,2017,30.5,1526,1682.5,162000,232000,0.00,0.39,35214,312.754,,31.23,27.58,23.99,,1840.6565
Andhra Pradesh,2017,31.6,1168.9,979.4,17133000,34616000,28.45,6.05,2383547,32868.550,8222.99,33.74,28.29,22.89,,65953.3207
Arunachal Pradesh,2017,7.8,1572.3,1768,360000,1118000,0.04,0.00,74445,1173.224,,24.41,19.09,13.82,,6
Assam,2017,9.1,1614.5,1792.8,5007000,28661000,3.27,0.00,1698637,26725.371,,28.19,23.57,19,,31922.3137
Bihar,2017,22.6,936.8,1027.6,13780000,102771000,5.88,0.00,829280,92517.189,,31.39,25.57,19.8,,2280
Chandigarh,2017,17.2,345.8,466.3,1145000,10000,0.00,0.00,182500,916.829,,30.4,24.45,18.54,,12775
Chhattisgarh,2017,22.4,1039.4,1153.3,7107000,20977000,4.57,0.00,730000,22292.840,,32.42,26.4,20.43,,5919.067
Dadra and Nagar Haveli and Daman and Diu,2017,21.3,1641.6,1392.2,480000,237000,0.00,0.24,30000,569.148,675.33,,,,,2062.7782
Delhi,2017,18.1,345.8,466.3,18959000,223000,0.01,0.00,3775832,125789.600,,32.21,26.07,19.97,,220454.2416
Goa,2017,19.1,3206,2914.7,1060000,464000,0.06,1.18,72677,1209.738,675.33,31.78,27.39,23.05,,32368.1306
Gujarat,2017,22.3,1641.6,1392.2,30469000,35924000,1.38,7.01,3567176,6479.220,10255.8,34.09,27.56,21.07,,269808
Haryana,2017,19.3,345.8,466.3,10846000,17150000,1.90,0.00,1776824,182872.100,,32.19,25.84,19.54,,67755.0909
Himachal Pradesh,2017,16.5,720.7,825.3,735000,6486000,0.13,0.00,128101,5731.968,,15.67,10.78,5.93,,3648.2542
Jammu and Kashmir,2017,10.9,545.4,534.6,3791000,9242000,0.21,0.00,583007,10345.484,,,,,,27870
Jharkhand,2017,17.3,978.8,1091.9,9197000,27315000,1.90,0.00,703178,16699.950,,,,,,50711.4691
Karnataka,2017,23.7,3789.5,4249.8,27073000,37853000,1.88,4.14,3485373,43142.820,2362.51,32.03,26.59,21.21,,270592.1249
Kerala,2017,20.3,1857.4,2039.6,21832000,12989000,1.89,4.84,1398517,12325.810,4812,30.98,26.9,22.87,,132622.8162
Lakshadweep,2017,31.4,1108.3,998.5,62000,5000,0.00,0.21,12775,53.184,,31.18,28.13,25.13,,148
Madhya Pradesh,2017,21.6,1533.8,1927.3,22785000,57544000,1.43,0.00,2632380,63764.475,,32.76,26.17,19.62,,61037
Maharashtra,2017,23.8,5432.4,5281.5,56494000,63755000,1.31,4.75,8405837,38676.460,5507.94,33.7,27.27,20.9,,405776.3579
Manipur,2017,8.5,1870.7,1496.9,944000,2106000,0.33,0.00,40937,2421.064,,24.31,19.81,15.35,,24
Meghalaya,2017,8.3,1614.5,1792.8,647000,2522000,0.12,0.00,76650,2515.525,,26.02,21.89,17.81,,15.096
Mizoram,2017,7.7,1870.7,1496.9,629000,543000,0.08,0.00,73320,930.324,,25.9,21.51,17.17,,13.1711
Nagaland,2017,6.5,1870.7,1496.9,797000,1316000,0.09,0.00,127020,1677.281,,24.11,19.47,14.87,,14052.5
Odisha,2017,25.5,1051.7,1149.9,7912000,36516000,5.34,1.51,196896,3451.310,4024.5,31.61,26.25,20.94,,12092.205
Puducherry,2017,26,414.1,317.2,1004000,443000,0.07,0.42,154787,1148.616,256.396,32.86,28.87,24.94,,8239.3997
Punjab,2017,17.2,384.9,491.9,11717000,17743000,1.37,0.00,1615314,59597.900,,31.65,25.28,18.96,,54066.1
Rajasthan,2017,21.3,931.7,879,19503000,56081000,0.54,0.00,2391508,37251.210,,33.62,26.55,19.53,,103326.4059
Sikkim,2017,17.2,2039.8,2006.2,244000,408000,0.00,0.00,26769,517.552,,10.88,4.97,-0.91,,5.7207
Tamil Nadu,2017,25.8,414.1,317.2,38435000,36671000,1.85,4.97,5538733,19269.800,7655.25,32.53,27.99,23.5,,399209.391
Telangana,2017,28.8,657.4,755.2,15987000,20791000,2.70,0.00,2848460,51499.130,,,,,,181769.1816
Tripura,2017,18.1,1870.7,1496.9,1294000,2630000,0.77,0.00,158118,3114.838,,29.42,24.7,20.04,,28.5
Uttar Pradesh,2017,21.2,1179.5,1667,51068000,168971000,6.29,0.00,5657500,44288.990,,32.71,26.26,19.86,,206733.4505
