States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
,,Number,kmph,mm,mm,Persons,Persons,Lakh Tonnes,Lakh Tonnes,TPA,TPA,Kg,,TPA
Madhya Pradesh,2016,1,21.65,2289.4,1927.3,22372000,56815000,1.39,0.00,0.00,2472145,0,0,25809.19
Maharashtra,2016,1,20.5,6238.7,5281.5,55630000,63477000,2.00,4.63,25.92,8559126,5091.46,0,89357.27
Manipur,2016,0,10.8,1244,1496.9,926000,2093000,0.32,0.00,0.00,40521,0,0,423.04
Meghalaya,2016,0,11.4,1249,1792.8,639000,2498000,0.12,0.00,0.00,68255,0,0,712.58
Mizoram,2016,0,9,1244,1496.9,620000,540000,0.08,0.00,0.00,58356,0,0,609.24
Nagaland,2016,0,7.8,1244,1496.9,759000,1333000,0.09,0.00,0.00,123005,0,0,1284.17
Odisha,2016,1,19.95,1030.8,1149.9,7772000,36309000,4.55,1.53,3.73,6771,3720.19,0,70.69
Puducherry,2016,0,26.95,258.1,317.2,978000,435000,0.04,0.46,0.00,145453,237.009,0,1518.52
Punjab,2016,0,16.6,352,491.9,11517000,17703000,1.33,0.00,0.00,1658688,0,0,17316.70
Rajasthan,2016,1,23.3,1128.5,879,19135000,55441000,0.50,0.00,0.00,2359614,0,0,24634.37
Sikkim,2016,0,16.9,1996.2,2006.2,229000,417000,0.00,0.00,0.00,27755,0,1,289.76
Tamil Nadu,2016,0,23.85,258.1,317.2,37926000,36827000,1.97,4.72,80.73,5350353,7076.41,0,55857.68
Telangana,2016,1,26.25,899.8,755.2,15612000,20913000,1.99,0.00,0.00,2986716,0,0,31181.32
Tripura,2016,0,16.25,1244,1496.9,1238000,2646000,0.72,0.00,0.00,156253,0,0,1631.28
Uttar Pradesh,2016,1,21.65,1430.4,1667,50063000,167012000,6.18,0.00,0.00,5657500,0,0,59064.30
Uttarakhand,2016,1,17.3,1104.2,1229.1,3537000,7261000,0.04,0.00,0.00,430700,0,1,4496.51
West Bengal,2016,1,22.55,3159.1,3174.1,32431000,62851000,15.25,1.77,290.26,5110000,1227.37,0,53348.40
